,Botanist_Name,Botanist_Email,Botanist_Phone,Last_Watered,Plant_Name,Scientific_Name,Recording_Time,Cycle,Temperature,Soil_Moisture,Sunlight,Humidity
0,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:54:32,Venus flytrap,-,2023-08-31 08:48:36,-,12.05146117356289,33.02730569192913,-,-
1,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:10:54,Corpse flower,-,2023-08-31 08:48:37,-,9.183073957695093,38.977524668789805,-,-
2,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 14:50:16,Rafflesia arnoldii,-,2023-08-31 08:48:38,-,10.039213729078131,37.84556251200769,-,-
3,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 13:16:25,Black bat flower,-,2023-08-31 08:48:40,-,11.35281877893064,30.084216452286284,-,-
4,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:56:18,Pitcher plant,Sarracenia catesbaei,2023-08-31 08:48:40,Herbaceous Perennial,11.224033451811158,39.12700103027436,full sun,-
5,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 13:35:35,Wollemi pine,Wollemia nobilis,2023-08-31 08:48:42,Perennial,10.99204077195861,35.87841636329935,part shade,-
6,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 13:23:01,Bird of paradise,Heliconia schiedeana 'Fire and Ice',2023-08-31 08:48:44,Herbaceous Perennial,11.57442360262116,30.47342846322067,"full sun, part shade",-
7,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 14:12:43,Cactus,Pereskia grandifolia,2023-08-31 08:48:45,Perennial,10.62396748826203,35.301736706280195,full sun,-
8,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:04:57,"Dragon tree,",-,2023-08-31 08:48:46,-,13.971412148121761,31.505163272902607,-,-
9,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:37:24,Asclepias Curassavica,Asclepias curassavica,2023-08-31 08:48:47,Herbaceous Perennial,9.497803447136912,35.31500937640449,full sun,-
10,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 13:13:51,Brugmansia X Candida,-,2023-08-31 08:48:47,-,12.858930924475631,30.749544885068758,-,-
11,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 14:17:54,Colocasia Esculenta,Colocasia esculenta,2023-08-31 08:48:49,Perennial,13.192117041526277,37.295108095014115,"full sun, part sun/part shade",-
12,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:45:31,Cuphea ‘David Verity’,-,2023-08-31 08:48:50,-,10.010920598190365,32.745124215686275,-,-
13,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:50:40,Euphorbia Cotinifolia,Euphorbia cotinifolia,2023-08-31 08:48:51,Perennial,13.31733687330642,,full sun,-
14,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:02:40,Ipomoea Batatas,Ipomoea batatas,2023-08-31 08:48:51,Herbaceous Perennial,9.818677023240856,34.45978599224054,full sun,-
15,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:29:39,Manihot Esculenta ‘Variegata’,-,2023-08-31 08:48:52,-,9.08894668120963,35.96786078058251,-,-
16,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:24:30,Musa Basjoo,Musa basjoo,2023-08-31 08:48:53,Herbaceous Perennial,13.88218075494597,34.88958919291706,full sun,-
17,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:49:34,Salvia Splendens,Salvia splendens,2023-08-31 08:48:54,Herbaceous Perennial,8.649674170613096,36.69512971358749,"full sun, part shade",-
